GBD Cause,Parameter,Region,Country ISO3 Code,Sex,Year Start,Year End,Age Start,Age End,Parameter Value,Standard Error,Units,,authors,casedef,citation,country,country2,ct,dataend,datastart,dateabs,design,effective_sample_size,ignore,lab,ldi_id,ldi_id_updated_7july2011,oldestage,otherdef,overallseroprevalence,pmid,popdescription,poptype,se,sero,seroage_start,seron,seroncases_calculated,serontot,serototal,title,ve,youngestage
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,0,10,0.458333333,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,48,,,1.655500569,1.49762818,47 years,ELISA,116,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,22,< 10 yrs,48,,161,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,11,20,0.541666667,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,48,,,1.655500569,1.49762818,47 years,ELISA,116,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,26,11-20,48,,161,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,21,30,0.894736842,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,38,,,1.655500569,1.49762818,47 years,ELISA,116,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,34,21-30,38,,161,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,21,30,0.803652968,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,219,,,1.655500569,1.49762818,47 years,ELISA,406,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,176,21-30 yrs,219,,487,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,31,40,0.947368421,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,19,,,1.655500569,1.49762818,47 years,ELISA,116,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,18,31-40,19,,161,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,31,40,0.844444444,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,180,,,1.655500569,1.49762818,47 years,ELISA,406,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,152,31-40 yrs,180,,487,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,41,50,0.888888889,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,18,,,1.655500569,1.49762818,47 years,ELISA,116,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,16,> 41 yrs,18,,161,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,North Africa/Middle East,ARE,all,1998,1998,41,50,0.909090909,-99,1,,"Uduman, S. A.
Tahira, A. M.
Al-Wash, R.
Usmani, M. A.
Bener, A.",Lab or Epidemiological,"Uduman, S. A., A. M. Tahira, et al. (2001). ""Varicella susceptibility among children and healthy adults in the United Arab Emirates."" East Mediterr Health J 7(4-5): 604-8.",United Arab Emirates,,FALSE,does not state,does not state,11/08/2008,Cross Sectional,88,,,1.655500569,1.49762818,47 years,ELISA,406,15332755,healthy residents of the city of Al-Ain; 25% of the study population were UAE citizens and the remaining 75% were expatriate workers from the Indian subcontinent or the Philippines,Urban,,80,> 41 yrs,88,,487,,Varicella susceptibility among children and healthy adults in the United Arab Emirates,FALSE,8 months
Varicella,prevalence data,"Latin America, Southern",ARG,all,2002,2002,15,19,0.976,-99,1,,"Dayan, G. H.
Panero, M. S.
Debbag, R., et al.",Lab or Epidemiological,"Dayan, G. H., M. S. Panero, et al. (2004). ""Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002."" J Clin Microbiol 42(12): 5698-704.",Argentina,,FALSE,09/31/2002,08/01/2002,11/08/2008,Cross Sectional,540,,,0.157669574,-0.049064673,49,ELISA,98.50%,15583301,"convenience sample of women visiting hospitals and health care centers providing prenatal screening and/or delivery facilities in four cities (Buenos Aires, Salta, Mendoza, & Rosario) & one rural area (Valle de Uco) throughout Argentina who submitted sera",Outpatient,,97.60%,15-19 yrs,540,527.04,"2,803",,"Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002",FALSE,15
Varicella,prevalence data,"Latin America, Southern",ARG,all,2002,2002,25,29,0.977,-99,1,,"Dayan, G. H.
Panero, M. S.
Debbag, R., et al.",Lab or Epidemiological,"Dayan, G. H., M. S. Panero, et al. (2004). ""Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002."" J Clin Microbiol 42(12): 5698-704.",Argentina,,FALSE,09/31/2002,08/01/2002,11/08/2008,Cross Sectional,604,,,0.157669574,-0.049064673,49,ELISA,98.50%,15583301,"convenience sample of women visiting hospitals and health care centers providing prenatal screening and/or delivery facilities in four cities (Buenos Aires, Salta, Mendoza, & Rosario) & one rural area (Valle de Uco) throughout Argentina who submitted sera",Outpatient,,97.70%,25-29,604,590.108,"2,803",,"Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002",FALSE,15
