index,Age 0 Population,Age 1 Population,Age 2 Population,Age 3 Population,Age 4 Population,Age 5 Population,Age 6 Population,Age 7 Population,Age 8 Population,Age 9 Population,Age 10 Population,Age 11 Population,Age 12 Population,Age 13 Population,Age 14 Population,Age 15 Population,Age 16 Population,Age 17 Population,Age 18 Population,Age 19 Population,Age 20 Population,Age 21 Population,Age 22 Population,Age 23 Population,Age 24 Population,Age 25 Population,Age 26 Population,Age 27 Population,Age 28 Population,Age 29 Population,Age 30 Population,Age 31 Population,Age 32 Population,Age 33 Population,Age 34 Population,Age 35 Population,Age 36 Population,Age 37 Population,Age 38 Population,Age 39 Population,Age 40 Population,Age 41 Population,Age 42 Population,Age 43 Population,Age 44 Population,Age 45 Population,Age 46 Population,Age 47 Population,Age 48 Population,Age 49 Population,Age 50 Population,Age 51 Population,Age 52 Population,Age 53 Population,Age 54 Population,Age 55 Population,Age 56 Population,Age 57 Population,Age 58 Population,Age 59 Population,Age 60 Population,Age 61 Population,Age 62 Population,Age 63 Population,Age 64 Population,Age 65 Population,Age 66 Population,Age 67 Population,Age 68 Population,Age 69 Population,Age 70 Population,Age 71 Population,Age 72 Population,Age 73 Population,Age 74 Population,Age 75 Population,Age 76 Population,Age 77 Population,Age 78 Population,Age 79 Population,Age 80 Population,Age 81 Population,Age 82 Population,Age 83 Population,Age 84 Population,Age 85 Population,Age 86 Population,Age 87 Population,Age 88 Population,Age 89 Population,Age 90 Population,Age 91 Population,Age 92 Population,Age 93 Population,Age 94 Population,Age 95 Population,Age 96 Population,Age 97 Population,Age 98 Population,Age 99 Population,Age 100 Population,Country Code,Sex,iso3,Year
0,329.1997,299.4705,283.1462,273.7127,268.3282,215.2426,199.7899,186.8952,175.783,166.0623,168.8881,160.8835,154.2755,149.0893,144.6725,141.7732,136.9194,131.1784,124.3872,116.9898,122.8803,114.811,107.3793,100.7502,94.82816,99.27574,93.80311,88.66382,83.75672,79.0616,82.18526,77.45496,72.93579,68.63743,64.62954,66.13747,62.61466,59.56915,56.99191,54.72781,55.73092,54.24091,52.53621,50.54593,48.37206,45.72169,43.57018,41.56578,39.76163,38.12071,36.74224,35.27546,33.83921,32.40726,30.97983,29.54553,28.1458,26.76742,25.41369,24.08256,22.7694,21.47761,20.2047,18.95111,17.71919,16.48983,15.31186,14.16473,13.05122,11.97036,10.89894,9.886765,8.911077,7.974921,7.082302,6.188858,5.401476,4.668799,3.993917,3.377949,2.770944,2.283759,1.855138,1.483865,1.168293,0.8715518,0.6643894,0.4981865,0.3672499,0.2656226,0.1764037,0.1219777,0.0821787,0.0538901,0.0345498,0.0200288,0.012482,0.0077351,0.0047891,0.0029649,0.003,AFG,female,female,1990
1,577.3518,541.7718,520.6143,505.5067,493.4801,488.3214,457.1705,425.735,394.0443,362.4229,421.5334,383.0055,346.6737,313.4498,283.7715,329.0402,302.0336,280.1847,262.831,249.4335,245.1348,237.1776,230.5541,224.3464,217.9832,202.843,195.5001,187.685,179.5769,171.193,171.7489,162.5302,153.3733,144.4414,135.8353,141.7161,133.0756,124.8883,117.1451,109.8769,114.5141,107.5169,101.0158,94.96921,89.31789,92.57957,87.03293,81.75279,76.72068,71.99502,73.449,69.15488,65.33324,61.96849,58.9114,59.23122,56.97124,54.51488,51.80947,48.94717,45.68264,42.84711,40.1347,37.5869,35.17663,32.9392,30.70084,28.51708,26.3765,24.28038,22.18142,20.19704,18.27767,16.43147,14.66539,12.89839,11.3252,9.85345,8.489178,7.235773,5.997833,4.989516,4.094715,3.312222,2.639714,2.003144,1.548092,1.177576,0.8810568,0.6471301,0.4387627,0.3084585,0.2114302,0.1411611,0.0921876,0.054695,0.0347473,0.0219533,0.0138574,0.008747,0.009,AFG,female,female,2005
2,635.1807,605.0089,586.4984,570.7103,555.259,514.8683,486.3076,459.9622,435.6202,412.9266,462.8429,437.5159,412.1379,386.519,360.3303,403.8895,370.3158,336.6398,303.9276,273.5484,318.8835,290.2705,267.5173,250.1543,237.3164,233.0568,225.9359,219.955,214.0717,207.8004,193.0781,185.7215,177.9681,170.0423,161.942,162.3566,153.542,144.7894,136.2384,127.9905,133.3714,125.0972,117.2706,109.8842,102.9576,107.2067,100.5199,94.28705,88.46567,83.00367,85.78034,80.39159,75.25448,70.35465,65.74496,66.76374,62.53841,58.74743,55.37236,52.27504,52.15483,49.73734,47.14458,44.33944,41.41281,38.13507,35.28688,32.57298,30.02756,27.62251,25.36181,23.14662,21.00294,18.92664,16.92798,14.91411,13.12084,11.43974,9.879104,8.442214,7.022167,5.85821,4.821442,3.911196,3.125984,2.380042,1.844863,1.407676,1.056659,0.7787602,0.5304548,0.3742873,0.2575171,0.1725885,0.1131523,0.0674447,0.0430172,0.0272866,0.0172928,0.0109588,0.011,AFG,female,female,2010
3,345.9004,315.1211,298.6279,288.793,283.0126,229.3413,213.6514,200.5584,189.2475,179.3074,181.6445,173.3947,166.5275,161.0829,156.3965,153.7401,148.5365,142.4018,135.1748,127.3128,133.8464,125.2523,117.3087,110.1917,103.8138,108.763,102.8693,97.35072,92.10347,87.09553,90.74684,85.69746,80.85975,76.23987,71.91106,73.71122,69.86214,66.50925,63.64416,61.09823,62.15508,60.42355,58.43402,56.1129,53.57944,50.49926,47.9893,45.64472,43.52478,41.58693,39.93914,38.19308,36.48058,34.77349,33.07371,31.3617,29.70239,28.07327,26.47918,24.91945,23.37978,21.88756,20.4296,19.00744,17.62462,16.25298,14.96276,13.72251,12.5346,11.39715,10.28226,9.246397,8.261356,7.328833,6.451156,5.582749,4.828155,4.13442,3.503003,2.933675,2.378299,1.939818,1.558938,1.233214,0.9597313,0.7049861,0.530249,0.3918072,0.2841733,0.2017844,0.129624,0.0874391,0.0572295,0.0362929,0.0224145,0.0122437,0.0073149,0.0043415,0.002574,0.0015259,0.001,AFG,male,male,1990
4,607.1653,570.399,549.1662,533.6042,521.035,519.4012,487.3537,454.8265,421.8402,388.7392,450.609,410.0659,371.6637,336.4125,304.8419,354.6521,325.8275,302.5551,284.1486,270.0139,265.4999,257.2155,250.3268,243.8295,237.1164,220.8279,213.0004,204.6595,196.0068,187.0533,187.8946,178.0101,168.166,158.538,149.2344,155.8377,146.4413,137.5085,129.0327,121.0518,126.1515,118.4234,111.2226,104.5073,98.21324,101.6921,95.48329,89.55903,83.90133,78.5722,79.9676,75.08029,70.69837,66.80413,63.23963,63.26465,60.5499,57.63749,54.48021,51.18074,47.47262,44.25627,41.19423,38.3278,35.62707,33.11702,30.63909,28.24033,25.90963,23.64891,21.39625,19.30152,17.2978,15.39279,13.59264,11.8051,10.2454,8.806455,7.491793,6.302257,5.140803,4.216735,3.410594,2.717736,2.132132,1.584804,1.202885,0.8971943,0.6569632,0.4711546,0.3070883,0.2095571,0.1389272,0.0893712,0.0560562,0.0313351,0.0190429,0.0114998,0.0069373,0.004185,0.004,AFG,male,male,2005
5,668.793,637.7028,618.8715,602.358,585.9611,547.6085,518.5963,491.7292,466.7786,443.3614,495.2525,468.7578,441.932,414.6006,386.5222,434.1366,398.0942,362.0752,327.2353,294.9587,344.3459,313.9753,289.7914,271.2889,257.5835,253.0507,245.4792,239.1594,232.9799,226.3998,210.6532,202.8684,194.6227,186.15,177.4467,178.052,168.4955,158.9694,149.631,140.5921,146.4857,137.3554,128.687,120.478,112.7579,117.2237,109.7458,102.7699,96.25365,90.13694,92.95737,86.91468,81.14957,75.6467,70.46169,71.29164,66.5127,62.20348,58.34289,54.78529,54.32671,51.49174,48.49237,45.29837,42.00982,38.3774,35.24193,32.27738,29.51603,26.92727,24.50024,22.16241,19.92522,17.78396,15.74716,13.71121,11.92912,10.27895,8.766512,7.393208,6.047705,4.97217,4.03017,3.217467,2.528487,1.882164,1.43099,1.069285,0.7845955,0.5639649,0.368844,0.252324,0.1676967,0.1081417,0.0679936,0.0381054,0.0232117,0.0140501,0.0084958,0.005137,0.005,AFG,male,male,2010
6,247.4415,224.9579,208.7934,198.6055,189.8969,185.7423,170.8746,157.1711,144.6297,133.2292,148.6089,137.4533,127.5264,118.7551,110.9903,118.5051,111.5468,105.3138,99.67357,94.56776,98.39555,93.80638,89.60854,85.71765,82.01589,83.87937,80.00849,76.10617,72.16681,68.25315,69.85339,65.90984,62.2132,58.78284,55.53473,57.95578,54.46449,50.91901,47.31559,43.80514,42.63148,40.37758,38.4783,36.97731,35.77632,35.15155,34.207,33.25488,32.23195,31.15362,29.95922,28.86483,27.79926,26.77797,25.79272,24.86785,23.9178,22.97171,22.02323,21.07142,20.11455,19.15895,18.20356,17.2497,16.29724,15.33973,14.39189,13.44869,12.5124,11.5843,10.64399,9.74183,8.85756,7.996304,7.164318,6.321436,5.571493,4.86727,4.2122,3.606601,3.005358,2.508343,2.062596,1.669013,1.328691,1.002424,0.7723902,0.5854908,0.4364429,0.3192518,0.214906,0.1502344,0.1022837,0.0677407,0.0438353,0.02562,0.0161052,0.0100656,0.006285,0.0039242,0.004,AGO,female,female,1990
7,358.275,342.272,329.4971,318.2192,306.6684,296.18,274.2478,253.7917,235.0827,218.2009,237.3422,221.8144,208.1491,196.107,185.2623,198.3794,187.4389,176.6393,165.803,155.0784,167.9453,156.3407,145.3974,135.2079,125.7097,137.5011,127.6817,118.4431,109.7721,101.755,108.4744,101.0538,94.54961,88.90599,83.99018,86.95094,82.72961,78.87617,75.27225,71.82404,73.29286,69.71891,66.16132,62.62218,59.14272,60.48493,57.0025,53.73108,50.67966,47.77585,49.72654,46.58964,43.40533,40.1733,37.02018,35.85133,33.7332,31.89537,30.36802,29.06508,28.20464,27.05926,25.8873,24.64354,23.34427,21.93545,20.61102,19.30481,18.03004,16.78167,15.55151,14.34013,13.14531,11.96997,10.82208,9.65189,8.591538,7.583488,6.634089,5.745997,4.858929,4.111578,3.433125,2.825788,2.291579,1.774001,1.394797,1.079155,0.8210403,0.6130077,0.4231108,0.3020961,0.2101827,0.1423506,0.0942598,0.0566768,0.036484,0.0233536,0.014935,0.0095507,0.01,AGO,female,female,2005
8,376.0745,363.6324,355.6124,349.6737,344.0559,333.0058,316.6145,300.368,284.1842,268.1124,282.0659,264.8886,248.537,233.2288,218.9917,232.8134,218.9853,206.0696,193.9134,182.4273,196.413,184.4851,173.0387,162.0229,151.4443,163.6337,152.4223,141.7651,131.6911,122.1928,133.2991,123.4262,114.1826,105.578,97.68009,103.9692,96.72746,90.39606,84.91032,80.13997,82.91174,78.83812,75.13548,71.68907,68.40257,69.82861,66.42365,63.02714,59.63744,56.29315,57.5255,54.15213,50.96868,47.98437,45.1313,46.83434,43.73697,40.5929,37.40566,34.29613,33.02498,30.86918,28.96914,27.34885,25.92686,24.88732,23.5944,22.27674,20.89981,19.48272,17.962,16.55409,15.18036,13.85425,12.5743,11.30436,10.11708,8.977867,7.891865,6.865826,5.828866,4.954466,4.157194,3.44077,2.807703,2.193774,1.737913,1.355709,1.040557,0.7840474,0.5476258,0.3945348,0.2768416,0.188969,0.1260289,0.0762023,0.0493686,0.0317991,0.0204624,0.0131676,0.014,AGO,female,female,2010
9,254.0339,229.5216,211.6876,200.6581,191.2105,184.7723,169.571,155.6175,142.9035,131.4046,147.8582,136.6212,126.6906,117.9766,110.2934,117.2515,110.3646,104.1361,98.42404,93.19282,96.82912,92.06348,87.70328,83.6783,79.86984,81.46029,77.53292,73.59962,69.65176,65.74441,67.16937,63.24194,59.55669,56.13302,52.90298,55.04655,51.66458,48.29106,44.91925,41.66056,40.72219,38.62549,36.82212,35.34407,34.11013,33.34249,32.31422,31.27948,30.18866,29.05614,27.82896,26.69442,25.58957,24.52696,23.49909,22.52433,21.53404,20.55133,19.57157,18.59572,17.61529,16.65532,15.70691,14.7719,13.84956,12.9321,12.03498,11.15179,10.28421,9.432918,8.575795,7.765253,6.979028,6.221598,5.498327,4.768103,4.134253,3.547704,3.010927,2.524014,2.044029,1.664532,1.333129,1.048696,0.8096142,0.5837723,0.4331867,0.3148154,0.2238514,0.1553742,0.0958468,0.0628963,0.0399745,0.0245805,0.0147019,0.0076986,0.004448,0.0025522,0.0014628,0.0008383,0.001,AGO,male,male,1990
